customer_id,lookalike_1,score_1,lookalike_2,score_2,lookalike_3,score_3
C0001,C0035,0.9318,C0069,0.9116,C0146,0.8787
C0002,C0133,0.9477,C0134,0.9294,C0106,0.8571
C0003,C0166,0.8962,C0129,0.8848,C0106,0.8591
C0004,C0017,0.974,C0075,0.954,C0122,0.9535
C0005,C0197,0.9475,C0069,0.9359,C0007,0.8904
C0006,C0135,0.9693,C0187,0.9288,C0153,0.9106
C0007,C0199,0.9055,C0026,0.8994,C0035,0.892
C0008,C0162,0.9571,C0113,0.9345,C0181,0.9252
C0009,C0033,0.8652,C0150,0.8419,C0058,0.7955
C0010,C0030,0.9411,C0034,0.9173,C0061,0.915
C0011,C0126,0.9754,C0027,0.923,C0064,0.92
C0012,C0065,0.9588,C0104,0.9536,C0113,0.9413
C0013,C0067,0.9668,C0105,0.9604,C0183,0.96
C0014,C0097,0.9823,C0110,0.9464,C0128,0.9459
C0015,C0071,0.9068,C0052,0.7882,C0073,0.7879
C0016,C0107,0.9881,C0183,0.9799,C0105,0.95
C0017,C0004,0.974,C0075,0.9732,C0122,0.97
C0018,C0148,0.9291,C0087,0.9199,C0114,0.9079
C0019,C0070,0.8875,C0191,0.8731,C0094,0.8587
C0020,C0130,0.9706,C0120,0.8674,C0005,0.724
